id,title,year,month,branch,description,innovations,impact,modelSize,link,parentIds
instructgpt,InstructGPT: RLHF Alignment,2022,3,alignment,OpenAI used Reinforcement Learning from Human Feedback to align language models with human preferences.,RLHF pipeline for alignment | Reward modeling from human preferences | Improved instruction following,A 1.3B InstructGPT model outputs were preferred over the original 175B GPT-3. Led to ChatGPT.,,https://arxiv.org/abs/2203.02155,gpt3
chinchilla,Chinchilla: Compute-Optimal Training,2022,3,theory,"DeepMind revisited scaling laws, showing smaller models trained on more data outperform larger under-trained ones.",Optimal tokens-to-parameters ratio (~20:1) | More efficient allocation of compute resources,Shifted industry focus from just increasing parameters to better data utilization.,70B parameters,https://arxiv.org/abs/2203.15556,scaling-laws
chatgpt,ChatGPT: Conversational Interface,2022,11,alignment,OpenAI's ChatGPT brought conversational AI to the mainstream with an intuitive interface on top of GPT-3.5.,Conversation-based interface for non-experts | Improved instruction following | Human preference alignment | Memory within conversation context,"Became the fastest-growing consumer application in history, introducing AI to the general public.",,https://openai.com/blog/chatgpt,instructgpt
constitutional-ai,Constitutional AI,2022,12,alignment,Anthropic's approach to alignment using AI feedback rather than direct human feedback.,Self-supervision for harmful queries | Constitutional principles for alignment | Reduced need for human labelers on sensitive content,Provided a scalable alternative to RLHF requiring less direct human feedback on harmful content.,,https://arxiv.org/abs/2212.08073,instructgpt
mamba,Mamba: State Space Models,2023,12,foundation,A new architecture using selective state space models as an alternative to attention mechanisms.,Linear scaling with sequence length (vs. quadratic for attention) | Selective state space sequence modeling | Hardware-aware algorithm design,Potentially more efficient handling of very long sequences compared to attention-based models.,Various (2.8B for Mamba-2.8B),https://arxiv.org/abs/2312.00752,transformer
dalle3,DALL-E 3,2023,10,multimodal,OpenAI's third-generation text-to-image model with significantly improved prompt following.,GPT-4 integration for prompt interpretation | High fidelity to complex text prompts | Image consistency across multiple generations,Dramatically improved ability to follow detailed prompts and generate coherent scenes.,,https://openai.com/dall-e-3,gpt4
gemini-nano,Gemini Nano: On-Device Models,2023,12,multimodal,Google's efficient on-device variant of Gemini designed for mobile and edge computing.,Highly optimized for mobile hardware | Privacy-preserving on-device inference | Efficient multimodal understanding,Enabled powerful AI capabilities directly on smartphones without cloud dependency.,1.8B and 3.25B parameters,https://deepmind.google/technologies/gemini/,gemini
megatron,Megatron-Turing NLG,2021,10,decoder-only,Microsoft and NVIDIA's massive language model trained on supercomputing infrastructure.,Scaled training infrastructure | 3D parallelism for efficient training | Mixed-precision optimization,Pushed the boundaries of model scaling while improving training efficiency.,530B parameters,https://developer.nvidia.com/blog/using-deepspeed-and-megatron-to-train-megatron-turing-nlg-530b-the-worlds-largest-and-most-powerful-generative-language-model/,gpt3
palm2,PaLM 2,2023,5,decoder-only,Google's more efficient follow-up to PaLM with improved multilingual and reasoning capabilities.,Compute-optimal scaling | Enhanced multilingual capabilities | Improved reasoning across domains | Better model efficiency,Powered Google's Bard and formed the foundation for Google's AI services.,Undisclosed (smaller than PaLM but more capable),https://ai.google/discover/palm2/,palm
claude1,Claude 1,2023,3,decoder-only,Anthropic's first commercial large language model using Constitutional AI approach.,Constitutional AI alignment | Enhanced harmlessness while maintaining helpfulness | Improved instruction following,Established Anthropic as a major player in the AI safety-focused LLM space.,Undisclosed,https://www.anthropic.com/index/introducing-claude,constitutional-ai
falcon,Falcon LLM,2023,9,open-source,UAE-based Technology Innovation Institute's open-weight models trained on clean web data.,Multi-query attention for efficiency | Clean web-scale training corpus | Permissive licensing model,Provided high-quality open models with more permissive licensing than alternatives.,"7B, 40B, and 180B parameters",https://falconllm.tii.ae/,gpt3
midjourney,Midjourney,2022,7,multimodal,Text-to-image generation system with a focus on artistic quality and creative outputs.,Discord-based interface for accessibility | Artistic style optimization | Community-driven prompt engineering,Popularized AI image generation among artists and creative professionals.,,https://www.midjourney.com/home/,multimodal-foundation
opt,Meta's OPT: First Major Open Model,2022,5,open-source,"Meta released OPT-175B, a GPT-3 equivalent model, to researchers with full weights.",Open release of full weights for research | Democratized access to large models,,175B parameters,https://arxiv.org/abs/2205.01068,gpt3
palm,Google's PaLM,2022,4,decoder-only,Pathways Language Model pushed dense model size to 540B parameters with strong multilingual abilities.,Pathways system for efficient distributed training | Improved reasoning and code capabilities,,540B parameters,https://arxiv.org/abs/2204.02311,gpt3
llama1,LLaMA 1: Meta's Open Research LLM,2023,2,open-source,"Meta released LLaMA (7B-65B) models openly to researchers, triggering an open-source renaissance.",Improved training efficiency following Chinchilla ratios | Strong performance at smaller scales | Pre-normalization and rotary positional embeddings,Catalyzed open-source LLM development ecosystem.,7B to 65B parameters,https://arxiv.org/abs/2302.13971,opt | chinchilla
alpaca,Stanford Alpaca,2023,3,open-source,"Fine-tuned LLaMA-7B on instruction data, showing even small models can exhibit strong interactive abilities.",Low-cost fine-tuning approach | Self-instruct data generation,Demonstrated ChatGPT-like behavior could be achieved at smaller scales.,7B parameters,https://crfm.stanford.edu/2023/03/13/alpaca.html,llama1 | instructgpt
gpt4,GPT-4: Multimodal Capabilities,2023,3,multimodal,OpenAI's GPT-4 added vision input and demonstrated improved reasoning and knowledge.,Multimodal input (text and images) | Significantly improved reasoning | Extended context window (32K tokens),Set new high scores on many human exams and benchmarks.,Undisclosed (est. 0.5-1T parameters),https://arxiv.org/abs/2303.08774,instructgpt | gpt3
claude2,Anthropic Claude 2,2023,7,decoder-only,Anthropic launched Claude 2 with 100K token context window and Constitutional AI alignment.,Constitutional AI alignment approach | Expanded 100K token context window,Demonstrated the importance of context length for real-world use cases.,,https://www.anthropic.com/news/claude-2,claude1
llama2,LLaMA 2: Commercial Open-Source,2023,7,open-source,"Meta's follow-up, released with an open commercial license, included models up to 70B parameters.",Built-in RLHF for chat models | Grouped-Query Attention for efficiency | Commercial license for wider adoption,Became the open standard for commercial LLM research and applications.,"7B, 13B, and 70B parameters",https://arxiv.org/abs/2307.09288,llama1
gemini,Google's Gemini,2023,12,multimodal,Google DeepMind's natively multimodal model aimed at advanced planning and tool use.,Native multimodality (trained on multiple modalities from scratch) | Improved planning capabilities,,"Undisclosed (""Ultra"" >1T parameters)",https://deepmind.google/technologies/gemini/,palm
llama3,Llama 3,2024,4,open-source,Meta's updated series launched stronger 8B and 70B open-weight models with major gains in instruction following and reasoning.,Enhanced tokenizer (128K vocabulary) | Much larger training corpus (~15T tokens) | Stronger post-training for assistant behavior,,8B and 70B parameters,https://ai.meta.com/blog/meta-llama-3/,llama2
claude3,"Claude 3 Family: Opus, Sonnet, Haiku",2024,3,decoder-only,Anthropic released the Claude 3 family with three models balancing performance and efficiency.,Significantly improved reasoning capabilities | Enhanced multimodal understanding | Better function calling and tool use | Tiered model offerings for different use cases,Set new benchmarks in reasoning and multimodal tasks while providing varied price-performance options.,Undisclosed (estimated 100B-1T+ parameters),https://www.anthropic.com/news/claude-3-family,claude2
gpt4o,GPT-4o: Omni Model,2024,5,multimodal,"OpenAI's GPT-4o ('omni') combined text, vision, and audio in a faster, cheaper model matching GPT-4 Turbo performance.",Real-time responsiveness | Native audio input/output | Improved vision capabilities | Cost-efficient multimodal processing,Democratized multimodal AI by bringing high capabilities at lower cost and latency.,Undisclosed,https://openai.com/index/gpt-4o-system-card/,gpt4
claude3_5,Claude 3.5 Sonnet,2024,6,decoder-only,"Anthropic's Claude 3.5 Sonnet improved reasoning, coding, and vision performance while keeping Sonnet-class latency and pricing.",Enhanced logical reasoning | Improved tool use capabilities | Extended context efficiency | Better multimodal comprehension,Raised the practical quality bar for coding and reasoning workloads without requiring a flagship-tier price point.,Undisclosed,https://www.anthropic.com/news/claude-3-5-sonnet,claude3
gpt4_turbo,GPT-4 Turbo with Vision,2023,11,multimodal,"OpenAI's optimized GPT-4 with vision capabilities, reduced costs, and extended context window.",128K token context window | Reduced latency and pricing | Knowledge cutoff moved to April 2023 | JSON mode for structured outputs,Made powerful multimodal AI more accessible and affordable for developers.,Undisclosed,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,gpt4
mistral,Mistral AI Models,2023,9,open-source,French startup Mistral AI released efficient open-weight models rivaling much larger competitors.,Grouped-query attention | Sliding window attention | Mixture-of-Experts efficiency (for Mixtral) | Strong performance at smaller parameter counts,"Demonstrated that smaller, efficient models could rival much larger ones on many tasks.",7B and Mixtral 8x7B (MoE),https://mistral.ai/news/announcing-mistral-7b/,llama2
phi,Microsoft Phi Series,2023,9,open-source,Microsoft Research's small but mighty models trained primarily on synthetic data.,Synthetic data focused training | Extraordinary performance at extremely small scales | Textbook-quality data curation,Showed that high-quality data curation can compensate for smaller model sizes.,1.3B to 3.8B parameters,https://arxiv.org/abs/2309.05463,llama1
claude3_7,Claude 3.7 Sonnet,2025,2,reasoning,"Anthropic introduced the first widely deployed hybrid reasoning Claude model, combining instant responses with extended thinking in one system.",Hybrid reasoning model with optional extended thinking | Improved mathematical and coding capabilities | Enhanced multimodal understanding | Better tool use and function calling,Set new benchmarks on complex reasoning tasks while maintaining competitive pricing.,Undisclosed,https://www.anthropic.com/news/claude-3-7-sonnet,claude3_5
multimodal-foundation,CLIP: Contrastive Language-Image Pre-training,2021,2,multimodal,"OpenAI's CLIP connected text and images through contrastive learning, laying groundwork for multimodal models.",Contrastive learning between text and images | Zero-shot transfer to visual tasks | Learning from natural language supervision,Established foundation for later multimodal models by bridging language and vision.,,https://arxiv.org/abs/2103.00020,gpt3
sora,OpenAI Sora: World Simulation,2024,2,multimodal,"OpenAI's text-to-video model capable of generating physically plausible, high-fidelity videos up to 60 seconds.",Diffusion-based video generation | Physical world modeling from text descriptions | Temporal consistency across long sequences | Camera movement simulation,"Demonstrated potential for AI to simulate coherent, physically plausible worlds from text.",,https://openai.com/sora,gpt4
llama4,Llama 4: Scout and Maverick,2025,4,mixture-of-experts,"Meta's Llama 4 launch introduced Scout and Maverick, its first open-weight natively multimodal MoE models with ultra-long context.","Mixture-of-Experts architecture for efficiency | Native multimodality (text, image, speech) | 10M token context window (Scout) | Interleaved attention without positional embeddings (iRoPE)",First widely available MoE LLM combining scale and efficiency.,"Scout: 17B active (109B total), Maverick: 17B active (400B total)",https://ai.meta.com/blog/llama-4-multimodal-intelligence/,llama3_3 | switch-transformer
gemini1_5,Gemini 1.5 Pro and Flash,2024,5,multimodal,"Google expanded Gemini with long-context 1.5 Pro improvements and launched 1.5 Flash, its faster, lower-cost multimodal workhorse.",1M-token multimodal context window in public preview | Fast distilled Flash variant for high-volume workloads | Broader long-context developer access through AI Studio and Vertex AI,Made long-context multimodal models practical for mainstream developer workflows.,,https://blog.google/innovation-and-ai/technology/developers-tools/gemini-gemma-developer-updates-may-2024/,gemini
llama3_1,Llama 3.1,2024,7,open-source,"Meta upgraded Llama 3 with 128K context, multilingual support, and the 405B model that pushed open weights into frontier territory.",405B frontier open-weight model | 128K context window | Stronger tool use and multilingual capabilities,Marked the first openly available model family broadly positioned against top frontier closed models.,"8B, 70B, and 405B parameters",https://ai.meta.com/blog/meta-llama-3-1/,llama3
o1_preview,OpenAI o1-preview,2024,9,reasoning,"OpenAI introduced its first public reasoning-series model, built to spend more time thinking before responding on hard STEM and coding tasks.","Reasoning-first inference with deliberate multi-step problem solving | Public launch of the o-series | Strong gains on math, coding, and science benchmarks",Shifted the frontier conversation from pure next-token scaling toward explicit reasoning behavior.,,https://openai.com/index/introducing-openai-o1-preview/,gpt4o
qwen2_5,Qwen 2.5,2024,9,open-source,"Alibaba's Qwen 2.5 series expanded the open Qwen family across more sizes and stronger multilingual, coding, and instruction-following performance.",Broader open model size range | Improved multilingual performance | Stronger instruction following and coding,Established Qwen as a top-tier open model family rather than a niche regional alternative.,,https://github.com/QwenLM/Qwen3,
llama3_2,Llama 3.2,2024,9,multimodal,Meta extended the Llama line with multimodal vision models and lightweight edge models designed for mobile and embedded deployment.,Meta's first multimodal Llama models | On-device 1B and 3B edge variants | 11B and 90B vision-capable open models,Brought the Llama ecosystem decisively into multimodal and edge deployment use cases.,"1B, 3B, 11B, and 90B parameters",https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,llama3_1
claude3_5_new,Claude 3.5 Sonnet (New) and Computer Use,2024,10,reasoning,"Anthropic upgraded Claude 3.5 Sonnet and paired it with computer use beta, pushing Claude from chat assistant toward action-taking agent workflows.",Major coding improvement over the initial 3.5 Sonnet release | Computer use beta for desktop-style task execution | Stronger agentic interaction with external tools and interfaces,Helped normalize the idea of language models acting directly on software rather than only generating text.,,https://www.anthropic.com/news/3-5-models-and-computer-use,claude3_5
claude3_5_haiku,Claude 3.5 Haiku,2024,11,decoder-only,"Anthropic shipped a faster, cheaper Claude 3.5-tier model that brought strong coding and reasoning performance to a lightweight serving tier.",Haiku-tier speed with near-Opus-class benchmark results | Stronger coding efficiency at low latency | Lower-cost access to modern Claude 3.5 capabilities,Compressed the quality gap between premium and fast-serving model tiers.,,https://docs.anthropic.com/en/release-notes/api,claude3
o1,OpenAI o1,2024,12,reasoning,"OpenAI moved its reasoning line beyond preview with a more capable o1 release that added vision, function calling, and structured developer tooling.",Reasoning model with function calling and Structured Outputs | Vision-enabled reasoning | Developer messages and stronger API integration,Turned reasoning models from an experimental curiosity into something developers could build serious systems around.,,https://openai.com/index/o1-and-new-tools-for-developers/,o1_preview
gemini2_0,Gemini 2.0 Flash,2024,12,multimodal,"Google launched Gemini 2.0 Flash as its first Gemini model explicitly framed for the agentic era, with native tool use and multimodal output.",Native tool use including Search and code execution | Multimodal output with image generation and speech | Agent-oriented low-latency workhorse model,"Marked Google's shift from long-context assistants toward tool-using, agent-capable models.",,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/google-gemini-ai-update-december-2024/,gemini1_5
llama3_3,Llama 3.3 70B,2024,12,open-source,Meta closed 2024 with a more efficient open text model that approached Llama 3.1 405B-level usefulness at far lower serving cost.,405B-class utility in a 70B serving footprint | Stronger open text-only performance efficiency | Lower-cost deployment for advanced open assistants,Reinforced the trend that better data and post-training could matter as much as raw parameter count.,70B parameters,https://ai.meta.com/blog/future-of-ai-built-with-llama/,llama3_2
deepseek_v3,DeepSeek V3,2024,12,mixture-of-experts,DeepSeek released a large open Mixture-of-Experts model that closed much of the gap between open and closed frontier systems at far lower serving cost.,671B-parameter MoE with 37B active parameters | Strong frontier-class open performance | High throughput with open weights and technical report,Reset expectations for how far an open MoE model could push general-purpose capability and cost efficiency.,,https://api-docs.deepseek.com/news/news1226,switch-transformer | llama3_1
deepseek_r1,DeepSeek R1,2025,1,reasoning,DeepSeek followed V3 with an open reasoning model trained via large-scale reinforcement learning and positioned directly against OpenAI's o-series.,Open reasoning model trained with large-scale RL | MIT-licensed open weights and distilled variants | Competitive math and coding performance against o1-class systems,Proved that frontier reasoning behavior was no longer confined to closed labs.,,https://api-docs.deepseek.com/news/news250120,deepseek_v3 | o1
gpt4_5,GPT-4.5,2025,2,decoder-only,"OpenAI released GPT-4.5 as a research preview focused on broader knowledge, stronger conversational quality, and more natural interaction.","Scaled-up GPT-series pretraining beyond GPT-4o | Improved writing quality, nuance, and emotional intelligence | Research preview for general-purpose chat quality",Showed that scaling general-purpose chat models still mattered even as reasoning models took center stage.,,https://openai.com/index/introducing-gpt-4-5/,gpt4o
gemini2_5,Gemini 2.5 Pro,2025,3,multimodal,"Google introduced Gemini 2.5 Pro as a thinking model optimized for complex reasoning, coding, and long-context multimodal problem solving.",Thinking model with explicit reasoning behavior | State-of-the-art long-context multimodal performance | Stronger coding and agentic workflow support,Made reasoning a first-class capability inside Google's flagship multimodal line.,,https://deepmind.google/blog/gemini-25-our-world-leading-model-is-getting-even-better/,gemini2_0
gpt4_1,GPT-4.1,2025,4,decoder-only,"OpenAI refreshed its GPT line with GPT-4.1, emphasizing stronger coding, better instruction following, and a 1M-token API context window.",1M-token API context window | Major coding and instruction-following gains | Mini and nano variants for broader deployment tiers,Reasserted the GPT family as a practical production line even while the o-series pushed reasoning.,,https://openai.com/index/gpt-4-1/,gpt4o
o3_o4_mini,OpenAI o3 and o4-mini,2025,4,reasoning,"OpenAI expanded its reasoning line with o3 and o4-mini, pairing stronger deliberate reasoning with tool-rich, agentic use inside ChatGPT.","Stronger reasoning with full tool access | Agentic use of web, code, files, and images | Smaller o4-mini tier for cheaper reasoning workloads",Pushed reasoning models from benchmark specialists toward full-stack agent behavior.,,https://openai.com/index/introducing-o3-and-o4-mini/,o1
qwen3,Qwen3,2025,4,open-source,"Alibaba's Qwen3 family fused dense and MoE open models with hybrid reasoning, tool use, and broad multilingual support.",Hybrid reasoning modes across dense and MoE variants | Native support for agent and tool-oriented workflows | 119-language open model release,Moved Qwen into the top tier of globally relevant open model ecosystems.,,https://github.com/QwenLM/Qwen3,qwen2_5
claude4,Claude 4: Sonnet and Opus,2025,5,reasoning,"Anthropic launched Claude 4 with Sonnet 4 and Opus 4, extending hybrid reasoning into stronger coding, agent workflows, and long-horizon execution.",Next-generation hybrid reasoning for coding and agents | Stronger long-running task reliability | Frontier Claude split across practical Sonnet and flagship Opus tiers,Solidified Anthropic's position at the frontier of coding-focused agent models.,,https://www.anthropic.com/news/claude-4,claude3_7
magistral,Magistral,2025,6,reasoning,"Mistral entered the reasoning-model race with Magistral, releasing both an open small model and a stronger enterprise variant.","First dedicated Mistral reasoning model family | Open small model paired with enterprise medium variant | Transparent, multilingual reasoning focus",Showed that European frontier labs were moving from efficient base models into dedicated reasoning systems.,,https://mistral.ai/news/magistral,mistral
gemini3_1_pro,Gemini 3.1 Pro,2026,2,multimodal,"Google advanced the Gemini line again with 3.1 Pro, a more capable multimodal reasoning model aimed at complex, agentic, and strategic tasks.","Stronger multimodal reasoning across large heterogeneous inputs | Broader deployment across Gemini app, NotebookLM, and developer platforms | Preview release focused on complex real-world problem solving",Extended Google's flagship line into the 2026 generation of agent-oriented multimodal reasoning systems.,,https://deepmind.google/blog/gemini-3-1-pro-a-smarter-model-for-your-most-complex-tasks/,gemini2_5
deepseek_v4,DeepSeek V4 Preview,2026,4,reasoning,"DeepSeek launched V4 Preview with 1M context, dual thinking modes, and new Pro/Flash variants aimed at cost-effective agentic performance.",1M-token context window | Thinking and non-thinking dual-mode inference | Separate Pro and Flash variants with open-source release,"Pushed open reasoning systems further into long-context, agent-ready territory at aggressive price points.",,https://api-docs.deepseek.com/news/news260424,deepseek_r1
claude_opus_4_8,Claude Opus 4.8,2026,5,reasoning,"Anthropic upgraded its flagship Opus line again with Opus 4.8, improving consistency, agentic coding, and high-autonomy reasoning work.",Improved long-horizon coding and agent reliability | Adaptive thinking with a 1M-token context window | Faster execution mode at premium throughput,Kept Anthropic's flagship line current in the 2026 generation of agent-oriented frontier models.,,https://www.anthropic.com/news/claude-opus-4-8,claude4
